"Security Check","Sicherheitsüberprüfung"
"Secure connection","Sichere Verbindung"
"Security check","Sicherheitsüberprüfung"
"Verifying your access","Ihr Zugriff wird überprüft"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Wir überprüfen automatisch, ob Ihre Verbindung sicher ist – das dauert in der Regel nur einen Moment."
"Connection","Verbindung"
"Secure","Sicher"
"Request","Anfrage"
"Confirmed","Bestätigt"
"Human verification","Menschliche Überprüfung"
"Checking","Wird überprüft"
"Additional verification required","Zusätzliche Überprüfung erforderlich"
"Confirm you're human","Bestätigen Sie, dass Sie ein Mensch sind"
"Check %1 below to continue","Aktivieren Sie %1 unten, um fortzufahren"
"the box","das Kästchen"
"I'm not a robot","Ich bin kein Roboter"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Probleme? Laden Sie die Seite neu und/oder deaktivieren Sie Browser-Erweiterungen."
"Verification failed. Please try reloading the page.","Überprüfung fehlgeschlagen. Bitte laden Sie die Seite neu."
"If the issue persists, please contact our customer service at %1","Falls das Problem weiterhin besteht, kontaktieren Sie bitte unseren Kundenservice unter %1"
"Try again","Erneut versuchen"
"Verifying connection…","Verbindung wird überprüft…"
"Awaiting your verification","Ihre Bestätigung wird erwartet"
"Privacy policy","Datenschutzerklärung"
"Terms of service","Nutzungsbedingungen"
"Cookies","Cookies"
"Verification failed. Please try again.","Überprüfung fehlgeschlagen. Bitte versuchen Sie es erneut."
