"Security Check","Έλεγχος ασφαλείας"
"Secure connection","Ασφαλής σύνδεση"
"Security check","Έλεγχος ασφαλείας"
"Verifying your access","Επαλήθευση της πρόσβασής σας"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Επαληθεύουμε αυτόματα ότι η σύνδεσή σας είναι ασφαλής – συνήθως διαρκεί μόνο μια στιγμή."
"Connection","Σύνδεση"
"Secure","Ασφαλής"
"Request","Αίτημα"
"Confirmed","Επιβεβαιωμένο"
"Human verification","Ανθρώπινη επαλήθευση"
"Checking","Έλεγχος"
"Additional verification required","Απαιτείται πρόσθετη επαλήθευση"
"Confirm you're human","Επιβεβαιώστε ότι είστε άνθρωπος"
"Check %1 below to continue","Επιλέξτε %1 παρακάτω για να συνεχίσετε"
"the box","το πλαίσιο"
"I'm not a robot","Δεν είμαι ρομπότ"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Αντιμετωπίζετε πρόβλημα; Δοκιμάστε να φορτώσετε ξανά τη σελίδα ή/και να απενεργοποιήσετε τις επεκτάσεις του προγράμματος περιήγησης."
"Verification failed. Please try reloading the page.","Η επαλήθευση απέτυχε. Δοκιμάστε να φορτώσετε ξανά τη σελίδα."
"If the issue persists, please contact our customer service at %1","Εάν το πρόβλημα παραμένει, επικοινωνήστε με την εξυπηρέτηση πελατών μας στο %1"
"Try again","Δοκιμάστε ξανά"
"Verifying connection…","Επαλήθευση σύνδεσης…"
"Awaiting your verification","Αναμονή για την επαλήθευσή σας"
"Privacy policy","Πολιτική απορρήτου"
"Terms of service","Όροι χρήσης"
"Cookies","Cookies"
"Verification failed. Please try again.","Η επαλήθευση απέτυχε. Παρακαλώ προσπαθήστε ξανά."
