"Security Check","Turvatarkistus"
"Secure connection","Suojattu yhteys"
"Security check","Turvatarkistus"
"Verifying your access","Vahvistetaan pääsyäsi"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Vahvistamme automaattisesti, että yhteytesi on suojattu – tämä kestää yleensä vain hetken."
"Connection","Yhteys"
"Secure","Suojattu"
"Request","Pyyntö"
"Confirmed","Vahvistettu"
"Human verification","Ihmisen vahvistus"
"Checking","Tarkistetaan"
"Additional verification required","Lisävahvistus vaaditaan"
"Confirm you're human","Vahvista, että olet ihminen"
"Check %1 below to continue","Rastita %1 alla jatkaaksesi"
"the box","ruutu"
"I'm not a robot","En ole robotti"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Ongelmia? Kokeile ladata sivu uudelleen ja/tai poistaa selainlaajennukset käytöstä."
"Verification failed. Please try reloading the page.","Vahvistus epäonnistui. Yritä ladata sivu uudelleen."
"If the issue persists, please contact our customer service at %1","Jos ongelma jatkuu, ota yhteyttä asiakaspalveluumme osoitteeseen %1"
"Try again","Yritä uudelleen"
"Verifying connection…","Vahvistetaan yhteyttä…"
"Awaiting your verification","Odotetaan vahvistustasi"
"Privacy policy","Tietosuojakäytäntö"
"Terms of service","Käyttöehdot"
"Cookies","Evästeet"
"Verification failed. Please try again.","Vahvistus epäonnistui. Yritä uudelleen."
