"Security Check","Biztonsági ellenőrzés"
"Secure connection","Biztonságos kapcsolat"
"Security check","Biztonsági ellenőrzés"
"Verifying your access","Hozzáférés ellenőrzése"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Automatikusan ellenőrizzük, hogy a kapcsolata biztonságos-e – ez általában csak egy pillanatig tart."
"Connection","Kapcsolat"
"Secure","Biztonságos"
"Request","Kérés"
"Confirmed","Megerősítve"
"Human verification","Emberi ellenőrzés"
"Checking","Ellenőrzés"
"Additional verification required","További ellenőrzés szükséges"
"Confirm you're human","Erősítse meg, hogy ember"
"Check %1 below to continue","Jelölje be %1 alább a folytatáshoz"
"the box","a négyzetet"
"I'm not a robot","Nem vagyok robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Problémája van? Próbálja meg újratölteni az oldalt és/vagy letiltani a böngészőbővítményeket."
"Verification failed. Please try reloading the page.","Az ellenőrzés sikertelen. Próbálja meg újratölteni az oldalt."
"If the issue persists, please contact our customer service at %1","Ha a probléma továbbra is fennáll, forduljon ügyfélszolgálatunkhoz a következő címen: %1"
"Try again","Próbálja újra"
"Verifying connection…","Kapcsolat ellenőrzése…"
"Awaiting your verification","Várakozás az ellenőrzésére"
"Privacy policy","Adatvédelmi irányelvek"
"Terms of service","Szolgáltatási feltételek"
"Cookies","Sütik"
"Verification failed. Please try again.","Az ellenőrzés sikertelen. Kérjük, próbálja újra."
