"Security Check","Saugumo patikra"
"Secure connection","Saugus ryšys"
"Security check","Saugumo patikra"
"Verifying your access","Tikrinama jūsų prieiga"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Automatiškai tikriname, ar jūsų ryšys saugus – paprastai tai užtrunka tik akimirką."
"Connection","Ryšys"
"Secure","Saugus"
"Request","Užklausa"
"Confirmed","Patvirtinta"
"Human verification","Žmogaus patikra"
"Checking","Tikrinama"
"Additional verification required","Reikalinga papildoma patikra"
"Confirm you're human","Patvirtinkite, kad esate žmogus"
"Check %1 below to continue","Pažymėkite %1 žemiau, kad tęstumėte"
"the box","langelį"
"I'm not a robot","Aš ne robotas"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Kyla problemų? Pabandykite iš naujo įkelti puslapį ir (arba) išjungti naršyklės plėtinius."
"Verification failed. Please try reloading the page.","Patikra nepavyko. Pabandykite iš naujo įkelti puslapį."
"If the issue persists, please contact our customer service at %1","Jei problema kartojasi, susisiekite su mūsų klientų aptarnavimo tarnyba adresu %1"
"Try again","Bandyti dar kartą"
"Verifying connection…","Tikrinamas ryšys…"
"Awaiting your verification","Laukiama jūsų patvirtinimo"
"Privacy policy","Privatumo politika"
"Terms of service","Paslaugų teikimo sąlygos"
"Cookies","Slapukai"
"Verification failed. Please try again.","Patikra nepavyko. Bandykite dar kartą."
