"Security Check","Kontrola bezpieczeństwa"
"Secure connection","Bezpieczne połączenie"
"Security check","Kontrola bezpieczeństwa"
"Verifying your access","Weryfikacja dostępu"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Automatycznie sprawdzamy, czy Twoje połączenie jest bezpieczne – zwykle zajmuje to tylko chwilę."
"Connection","Połączenie"
"Secure","Bezpieczne"
"Request","Żądanie"
"Confirmed","Potwierdzone"
"Human verification","Weryfikacja człowieka"
"Checking","Sprawdzanie"
"Additional verification required","Wymagana dodatkowa weryfikacja"
"Confirm you're human","Potwierdź, że jesteś człowiekiem"
"Check %1 below to continue","Zaznacz %1 poniżej, aby kontynuować"
"the box","pole"
"I'm not a robot","Nie jestem robotem"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Masz problem? Spróbuj odświeżyć stronę i/lub wyłączyć rozszerzenia przeglądarki."
"Verification failed. Please try reloading the page.","Weryfikacja nie powiodła się. Spróbuj odświeżyć stronę."
"If the issue persists, please contact our customer service at %1","Jeśli problem będzie się powtarzał, skontaktuj się z naszą obsługą klienta pod adresem %1"
"Try again","Spróbuj ponownie"
"Verifying connection…","Weryfikacja połączenia…"
"Awaiting your verification","Oczekiwanie na Twoją weryfikację"
"Privacy policy","Polityka prywatności"
"Terms of service","Warunki korzystania z usługi"
"Cookies","Pliki cookie"
"Verification failed. Please try again.","Weryfikacja nie powiodła się. Spróbuj ponownie."
