"Security Check","Verificação de segurança"
"Secure connection","Ligação segura"
"Security check","Verificação de segurança"
"Verifying your access","A verificar o seu acesso"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Estamos a verificar automaticamente se a sua ligação é segura – normalmente demora apenas um momento."
"Connection","Ligação"
"Secure","Segura"
"Request","Pedido"
"Confirmed","Confirmado"
"Human verification","Verificação humana"
"Checking","A verificar"
"Additional verification required","É necessária verificação adicional"
"Confirm you're human","Confirme que é humano"
"Check %1 below to continue","Marque %1 abaixo para continuar"
"the box","a caixa"
"I'm not a robot","Não sou um robô"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Problemas? Tente recarregar a página e/ou desativar as extensões do navegador."
"Verification failed. Please try reloading the page.","A verificação falhou. Tente recarregar a página."
"If the issue persists, please contact our customer service at %1","Se o problema persistir, contacte o nosso serviço de apoio ao cliente através de %1"
"Try again","Tentar novamente"
"Verifying connection…","A verificar a ligação…"
"Awaiting your verification","A aguardar a sua verificação"
"Privacy policy","Política de privacidade"
"Terms of service","Termos de serviço"
"Cookies","Cookies"
"Verification failed. Please try again.","A verificação falhou. Por favor, tente novamente."
