"Security Check","Bezpečnostná kontrola"
"Secure connection","Zabezpečené pripojenie"
"Security check","Bezpečnostná kontrola"
"Verifying your access","Overovanie prístupu"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Automaticky overujeme, či je vaše pripojenie zabezpečené – zvyčajne to trvá len chvíľu."
"Connection","Pripojenie"
"Secure","Zabezpečené"
"Request","Požiadavka"
"Confirmed","Potvrdené"
"Human verification","Overenie človeka"
"Checking","Prebieha kontrola"
"Additional verification required","Vyžaduje sa ďalšie overenie"
"Confirm you're human","Potvrďte, že ste človek"
"Check %1 below to continue","Začiarknite %1 nižšie a pokračujte"
"the box","políčko"
"I'm not a robot","Nie som robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Máte problémy? Skúste znovu načítať stránku a/alebo zakázať rozšírenia prehliadača."
"Verification failed. Please try reloading the page.","Overenie zlyhalo. Skúste prosím znovu načítať stránku."
"If the issue persists, please contact our customer service at %1","Ak problém pretrváva, kontaktujte prosím náš zákaznícky servis na adrese %1"
"Try again","Skúsiť znova"
"Verifying connection…","Overovanie pripojenia…"
"Awaiting your verification","Čaká sa na vaše overenie"
"Privacy policy","Zásady ochrany osobných údajov"
"Terms of service","Podmienky služby"
"Cookies","Súbory cookie"
"Verification failed. Please try again.","Overenie zlyhalo. Skúste to prosím znova."
