"Security Check","Varnostno preverjanje"
"Secure connection","Varna povezava"
"Security check","Varnostno preverjanje"
"Verifying your access","Preverjanje vašega dostopa"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Samodejno preverjamo, ali je vaša povezava varna – to običajno traja le trenutek."
"Connection","Povezava"
"Secure","Varna"
"Request","Zahteva"
"Confirmed","Potrjeno"
"Human verification","Preverjanje človeka"
"Checking","Preverjanje"
"Additional verification required","Potrebno je dodatno preverjanje"
"Confirm you're human","Potrdite, da ste človek"
"Check %1 below to continue","Označite %1 spodaj za nadaljevanje"
"the box","polje"
"I'm not a robot","Nisem robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Imate težave? Poskusite znova naložiti stran in/ali onemogočiti razširitve brskalnika."
"Verification failed. Please try reloading the page.","Preverjanje ni uspelo. Poskusite znova naložiti stran."
"If the issue persists, please contact our customer service at %1","Če težava ni odpravljena, se obrnite na našo službo za pomoč strankam na %1"
"Try again","Poskusi znova"
"Verifying connection…","Preverjanje povezave…"
"Awaiting your verification","Čakanje na vaše preverjanje"
"Privacy policy","Politika zasebnosti"
"Terms of service","Pogoji uporabe"
"Cookies","Piškotki"
"Verification failed. Please try again.","Preverjanje ni uspelo. Prosimo, poskusite znova."
